y_test,y_pred
4876400,5648964.814814814
2923700,5242493.1034482755
6729000,5572875.1773049645
819200,5196800.0
7986000,8617572.727272727
4422400,6770826.315789473
25536400,24033901.796407185
8244900,8194646.79144385
3392000,3915054.5454545454
1382400,1072818.6046511629
11050600,16927065.36312849
3846400,7502446.511627907
1216000,3915054.5454545454
7690500,12923541.420118343
204800,1211584.2794759825
3393600,5242493.1034482755
13404100,7427003.493449782
9449800,12923541.420118343
1203200,2627471.186440678
26499000,24033901.796407185
6829200,5572875.1773049645
8282000,10128187.301587302
21331800,16927065.36312849
6241000,10722364.285714285
3531200,5648964.814814814
10558400,7427003.493449782
11357900,10982058.826923076
14666900,12923541.420118343
1280000,2627471.186440678
8068400,7427003.493449782
3772400,6525491.338582677
972800,1211584.2794759825
10984300,10861135.454545455
614400,2627471.186440678
3328000,6577257.86163522
6988900,8194646.79144385
15034800,11156651.489361702
5963200,6525491.338582677
3252400,4904854.148471615
20758200,12923541.420118343
10191700,10722364.285714285
11655000,9604430.64516129
13155000,8670825.2
25425800,13761523.27586207
14373500,24033901.796407185
5468000,5572875.1773049645
9339200,14871509.401709402
17711300,18696161.76470588
5999800,7335302.857142857
1280000,2627471.186440678
3667200,4904854.148471615
3765200,4904854.148471615
24770300,24033901.796407185
2892800,3901062.295081967
6830400,7917255.395683453
11900800,7502446.511627907
9086800,9212127.083333334
1481600,6577257.86163522
32227700,13761523.27586207
11536000,8194646.79144385
7589600,7828053.846153846
2790400,2627471.186440678
6555800,6525491.338582677
3281400,6525491.338582677
1715200,3915054.5454545454
17283400,14871509.401709402
512000,1211584.2794759825
13091400,18696161.76470588
6089600,8264716.049382716
3213200,4904854.148471615
8601600,3901062.295081967
14243500,9212127.083333334
7263900,8194646.79144385
10718400,5521441.758241759
11165400,9033719.696969697
819200,2627471.186440678
11201400,13761523.27586207
3756800,4904854.148471615
12042000,12923541.420118343
4320000,5521441.758241759
9073200,9212127.083333334
8061700,8194646.79144385
9441200,10861135.454545455
5856000,5521441.758241759
7897600,6577257.86163522
7308200,8670825.2
8156400,5424037.226277372
8439000,9604430.64516129
9314100,8194646.79144385
6093100,8670825.2
2419200,3915054.5454545454
4315200,6577257.86163522
7356000,4904854.148471615
102400,1211584.2794759825
5558000,6770826.315789473
5655900,6773153.503184713
10759300,9212127.083333334
6598800,4904854.148471615
7033600,4213171.698113208
4151400,5242493.1034482755
7559200,8194646.79144385
3252800,4990861.471861471
0,1211584.2794759825
6007000,6770826.315789473
4889600,2627471.186440678
12811600,6770826.315789473
10662900,10982058.826923076
3752000,6525491.338582677
5754800,6900063.157894737
1689600,3915054.5454545454
7895800,12923541.420118343
5553600,5521441.758241759
5139800,5999249.1228070175
10086000,6947436.269430052
2073600,3901062.295081967
1216000,3915054.5454545454
2750400,6577257.86163522
26308300,18696161.76470588
6640000,6525491.338582677
332800,2627471.186440678
28415000,24033901.796407185
409600,1681017.3410404625
5668800,6770826.315789473
2969600,3901062.295081967
3379200,1681017.3410404625
9268000,6525491.338582677
409600,1681017.3410404625
5419900,7427003.493449782
7083600,8670825.2
870400,1153219.0476190476
0,550158.4905660377
25683700,9212127.083333334
896000,1681017.3410404625
3797800,5572875.1773049645
4995200,8264716.049382716
11898700,13761523.27586207
4155000,11156651.489361702
6961600,5242493.1034482755
460800,2151101.3698630137
7108400,7828053.846153846
3020800,3681280.0
5250200,6408169.724770642
307200,2151101.3698630137
7012500,8032119.354838709
11991200,11156651.489361702
4172800,5196800.0
19146000,18696161.76470588
3532800,2627471.186440678
1868800,5196800.0
12498700,10722364.285714285
3481600,2627471.186440678
8390400,6577257.86163522
11600000,8264716.049382716
2409600,6577257.86163522
7485400,6770826.315789473
8547800,8194646.79144385
6452500,8194646.79144385
4841000,8670825.2
10732800,11156651.489361702
2704000,4904854.148471615
4346400,5424037.226277372
4210200,4990861.471861471
2304400,4990861.471861471
7709200,8194646.79144385
9895600,10722364.285714285
8813600,7427003.493449782
8813800,6770826.315789473
30090600,11156651.489361702
11281600,14871509.401709402
4532400,6773153.503184713
6558600,4990861.471861471
5434000,8670825.2
5156800,6947436.269430052
12855900,8670825.2
1705600,5521441.758241759
524800,2627471.186440678
4425600,5648964.814814814
7048300,6770826.315789473
3801600,5648964.814814814
5344800,4990861.471861471
7017100,8617572.727272727
7855200,5648964.814814814
6973600,6773153.503184713
5388800,5648964.814814814
3174400,1211584.2794759825
3875200,5521441.758241759
5900400,5648964.814814814
16357600,18696161.76470588
2393600,5521441.758241759
409600,1153219.0476190476
7517400,8194646.79144385
4373600,5648964.814814814
2380800,3901062.295081967
10577100,8670825.2
6473600,6525491.338582677
6354500,8194646.79144385
512000,550158.4905660377
7074000,6947436.269430052
1740800,2151101.3698630137
5720400,8194646.79144385
3276800,1153219.0476190476
5478400,5648964.814814814
1344000,2627471.186440678
4595100,7828053.846153846
14450100,9033719.696969697
3178000,4904854.148471615
1651200,3915054.5454545454
6435400,5572875.1773049645
7129100,6408169.724770642
6029500,10861135.454545455
4126400,8264716.049382716
5257400,8194646.79144385
640000,2151101.3698630137
6146900,6773153.503184713
1536000,1681017.3410404625
6319800,5572875.1773049645
11165200,7917255.395683453
8448400,8670825.2
6702000,7427003.493449782
4188900,6408169.724770642
5075900,5424037.226277372
3481600,1211584.2794759825
10105600,5521441.758241759
25327200,18696161.76470588
1971200,2627471.186440678
5157200,6947436.269430052
12839900,18696161.76470588
6904900,6773153.503184713
6192300,7917255.395683453
7852000,9604430.64516129
5658200,4990861.471861471
2822400,4213171.698113208
665600,2627471.186440678
4834800,5572875.1773049645
1203200,2151101.3698630137
2457600,2151101.3698630137
4857400,5424037.226277372
5248000,2627471.186440678
3584000,3915054.5454545454
486400,2627471.186440678
16863900,16927065.36312849
5777900,8194646.79144385
8244500,12923541.420118343
9027900,11156651.489361702
6663400,10722364.285714285
7934000,4213171.698113208
1612800,2151101.3698630137
3636800,5648964.814814814
6140400,10861135.454545455
4688800,5648964.814814814
6330600,6770826.315789473
13980400,17019851.724137932
4416000,3915054.5454545454
9872800,10128187.301587302
11589800,9212127.083333334
8615200,4213171.698113208
1075200,2627471.186440678
4020400,6773153.503184713
5232200,7917255.395683453
1408000,2627471.186440678
5190100,9212127.083333334
8940700,8032119.354838709
8369500,9604430.64516129
8563300,10861135.454545455
22958600,16927065.36312849
2694400,5648964.814814814
17204100,18696161.76470588
4696600,10982058.826923076
9399500,8670825.2
6575200,9390321.212121213
10192500,10863653.846153846
11804700,9604430.64516129
29292400,13086433.333333334
6761200,5572875.1773049645
1100800,2627471.186440678
8494500,8670825.2
9966900,11156651.489361702
19034200,10722364.285714285
10460200,11156651.489361702
28374100,24033901.796407185
7942600,6770826.315789473
1484800,1211584.2794759825
19702000,12923541.420118343
18013100,8670825.2
8662200,13761523.27586207
10768000,8194646.79144385
5639900,6770826.315789473
153600,2627471.186440678
1152000,3901062.295081967
